SubClass	label	filepath
ASC	ASC	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/ASC.naiveSummitList.bed
Cajal-Retzius	Cajal-Retzius	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/Cajal-Retzius.naiveSummitList.bed
L2/3	L2_3	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L2_3.naiveSummitList.bed
L3/4	L3_4	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L3_4.naiveSummitList.bed
L4_1	L4_1	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L4_1.naiveSummitList.bed
L4_2	L4_2	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L4_2.naiveSummitList.bed
L4_3	L4_3	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L4_3.naiveSummitList.bed
L4/5	L4_5	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L4_5_6_1.naiveSummitList.bed
L4/5/6_1	L4_5_6_1	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L4_5_6_2.naiveSummitList.bed
L4/5/6_2	L4_5_6_2	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L4_5.naiveSummitList.bed
L5	L5	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L5_6_1.naiveSummitList.bed
L5/6_1	L5_6_1	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L5_6_2.naiveSummitList.bed
L5/6_2	L5_6_2	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L5.naiveSummitList.bed
L6	L6	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L6.naiveSummitList.bed
L6b	L6b	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/L6b.naiveSummitList.bed
LAMP5	LAMP5	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/LAMP5_LHX6.naiveSummitList.bed
LAMP5_LHX6	LAMP5_LHX6	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/LAMP5.naiveSummitList.bed
MG	MG	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/MG.naiveSummitList.bed
OLG	OLG	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/OLG.naiveSummitList.bed
OPC	OPC	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/OPC.naiveSummitList.bed
PV_CHC	PV_CHC	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/PV_CHC.naiveSummitList.bed
PVALB	PVALB	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/PVALB.naiveSummitList.bed
RELN	RELN	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/RELN.naiveSummitList.bed
SST	SST	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/SST.naiveSummitList.bed
Vasular	Vasular	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/Vasular.naiveSummitList.bed
VIP	VIP	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/VIP_RELN.naiveSummitList.bed
VIP_RELN	VIP_RELN	/cluster/share/atac_group/mafas5/chen_ws/response/SA/repPeaks/VIP.naiveSummitList.bed
